Year,Provocation,Activity,Day,Month,Injury,State,Latitude,Longitude,SharkName,SharkLength,InjuryLocation,Gender,Age,IncidentTime,SharkScientific
2009,unprovoked,boarding,7.0,2,uninjured,NSW,-32.38333333,152.5166667,white shark,4.0,other: uninjured,male,41.0,1900-01-01 11:00:00,Carcharodon carcharias
2009,unprovoked,boarding,1.0,3,injured,NSW,-33.63333333,151.3166667,white shark,3.0,leg,male,15.0,1900-01-01 06:30:00,Carcharodon carcharias
2009,unprovoked,boarding,19.0,3,uninjured,NSW,-35.85,150.1666667,whaler shark,1.9,other: uninjured,female,47.0,1900-01-01 07:45:00,Carcharhinidae
2009,unprovoked,diving,23.0,3,injured,NSW,-33.93333333,151.25,wobbegong,1.3408602150537634,leg,male,,,Orectolobidae
2009,unprovoked,boarding,20.0,3,injured,WA,-32.5,115.7,white shark,2.0,"""calf, foot""",male,17.0,1900-01-01 18:45:00,Carcharodon carcharias
2009,provoked,swimming,15.0,3,injured,WA,-31.98333333,115.5333333,wobbegong,0.6,leg,male,21.0,1900-01-01 11:30:00,Orectolobidae
2009,unprovoked,boarding,12.0,4,uninjured,NSW,-32.73333333,152.1833333,bull shark,3.0,other: uninjured,male,40.0,1900-01-01 08:00:00,Carcharhinus leucas
2009,unprovoked,boarding,27.0,6,injured,NSW,-34.66666667,150.85,wobbegong,2.0,foot,male,52.0,1900-01-01 08:30:00,Orectolobidae
2009,unprovoked,boarding,30.0,7,injured,NSW,-28.63333333,153.6166667,whaler shark,1.5,"""arm, hand""",male,14.0,1900-01-01 06:15:00,Carcharhinidae
2009,provoked,spearfishing,25.0,8,uninjured,WA,-32,115.45,white shark,6.0,other: uninjured,male,42.0,1900-01-01 13:00:00,Carcharodon carcharias
2009,unprovoked,boarding,6.0,9,injured,WA,-12.15,96.81666667,whaler shark,1.8,thigh,male,35.0,1900-01-01 13:00:00,Carcharhinidae
2009,unprovoked,unmotorised boating,30.0,10,uninjured,VIC,-38.33333333,141.6,white shark,4.0,other: uninjured,male,27.0,,Carcharodon carcharias
2009,unprovoked,boarding,28.0,10,uninjured,NSW,-28.78333333,153.5833333,white shark,3.375,other: uninjured,female,17.0,1900-01-01 07:00:00,Carcharodon carcharias
2009,provoked,spearfishing,7.0,11,injured,SA,-35.5,138.2333333,white shark,3.0,"""leg, hand""",male,25.0,1900-01-01 09:50:00,Carcharodon carcharias
2009,provoked,spearfishing,19.0,12,injured,QLD,-23.43333333,151.9,whaler shark,3.0,arm,male,18.0,,Carcharhinidae
2009,provoked,other: standing in water,26.0,12,injured,NSW,-33.45,151.4333333,wobbegong,1.3408602150537634,foot,male,55.0,1900-01-01 11:00:00,Orectolobidae
2009,unprovoked,unmotorised boating,12.0,12,injured,NSW,-26.067,113.567,white shark,3.375,Unknown,male,,,Carcharodon carcharias
2009,unprovoked,boarding,13.0,12,injured,NSW,-29.1,153.4333333,white shark,3.375,foot,male,39.0,,Carcharodon carcharias
2009,unprovoked,boarding,27.0,12,uninjured,NSW,-32.16666667,152.5,white shark,3.375,other: uninjured,male,,1900-01-01 06:30:00,Carcharodon carcharias
2010,unprovoked,boarding,27.0,1,uninjured,QLD,-24.8,152.45,white shark,1.9,other: uninjured,male,37.0,1900-01-01 16:30:00,Carcharodon carcharias
2010,unprovoked,boarding,22.0,1,injured,VIC,-38.28333333,144.4333333,white shark,1.5,"""arm, hand""",male,,1900-01-01 07:30:00,Carcharodon carcharias
2010,unprovoked,snorkelling,9.0,1,injured,QLD,-10.56666667,142.2166667,whitetip reef shark,1.0,leg,female,9.0,,Triaenodon obesus
2010,unprovoked,boarding,6.0,2,uninjured,NSW,-29.41666667,153.3666667,white shark,2.4,other: uninjured,male,18.0,,Carcharodon carcharias
2010,unprovoked,snorkelling,13.0,2,injured,QLD,-20.35,148.9333333,bull shark,1.8,"""torso, pelvic region""",female,55.0,1900-01-01 12:45:00,Carcharhinus leucas
2010,unprovoked,other: standing in water,11.0,2,injured,NSW,-33.66666667,151.3,wobbegong,1.6,calf,male,46.0,1900-01-01 08:00:00,Orectolobidae
2010,unprovoked,boarding,18.0,5,injured,NSW,-31.3,152.9666667,bull shark,1.8,calf,male,,1900-01-01 16:30:00,Carcharhinus leucas
2010,unprovoked,boarding,6.0,6,injured,WA,-35.03333333,116.8333333,white shark,4.0,leg,male,,,Carcharodon carcharias
2010,unprovoked,boarding,8.0,8,injured,NSW,-31.18333333,152.9666667,white shark,2.0,foot,male,47.0,1900-01-01 08:00:00,Carcharodon carcharias
2010,unprovoked,boarding,17.0,8,fatal,WA,-33.85,114.9666667,white shark,4.0,leg,male,31.0,1900-01-01 08:15:00,Carcharodon carcharias
2010,unprovoked,boarding,13.0,9,injured,NSW,-29.4,153.3333333,white shark,2.0,foot,male,15.0,1900-01-01 17:00:00,Carcharodon carcharias
2010,unprovoked,boarding,23.0,10,injured,WA,-30.83333333,115.2666667,white shark,1.7,calf,male,,,Carcharodon carcharias
2010,unprovoked,boarding,16.0,10,injured,NSW,-30.06666667,153.2,wobbegong,1.4,foot,male,22.0,,Orectolobidae
2010,unprovoked,snorkelling,30.0,10,injured,WA,-32.18333333,115.6833333,white shark,3.0,thigh,female,19.0,1900-01-01 12:30:00,Carcharodon carcharias
2011,provoked,diving,17.0,2,fatal,SA,-34.71666667,135.15,white shark,3.375,other: body not recovered,male,50.0,1900-01-01 18:00:00,Carcharodon carcharias
2011,unprovoked,snorkelling,12.0,2,injured,WA,-21.95,114.1166667,whaler shark,1.8,arm,male,58.0,1900-01-01 16:45:00,Carcharhinidae
2011,unprovoked,boarding,16.0,3,injured,NSW,-32.73333333,152.1833333,white shark,3.0,"""head, shoulder""",female,,1900-01-01 13:00:00,Carcharodon carcharias
2011,unprovoked,boarding,23.0,3,injured,NSW,-31.83333333,152.7333333,white shark,3.0,arm,male,48.0,1900-01-01 18:45:00,Carcharodon carcharias
2011,provoked,fishing,23.0,4,injured,WA,-24.48333333,113.4,whaler shark,1.8,foot,male,17.0,1900-01-01 15:00:00,Carcharhinidae
2011,provoked,diving,29.0,5,injured,NSW,-32.45,152.5333333,wobbegong,1.0,thigh,female,,,Orectolobidae
2011,unprovoked,swimming,28.0,8,fatal,QLD,-18.71666667,146.5666667,tiger shark,3.166265060240964,torso,male,50.0,1900-01-01 19:30:00,Galeocerdo cuvier
2011,unprovoked,boarding,4.0,9,fatal,WA,-33.53333333,115.0333333,white shark,4.5,leg,male,21.0,,Carcharodon carcharias
2011,unprovoked,diving,22.0,10,fatal,WA,-32,115.45,white shark,3.0,Unknown,male,32.0,1900-01-01 13:30:00,Carcharodon carcharias
2011,provoked,diving,19.0,10,uninjured,VIC,-37.88333333,144.9833333,port jackson shark,1.0,other: uninjured,male,49.0,1900-01-01 16:00:00,Heterodontus portusjacksoni
2011,unprovoked,swimming,10.0,10,fatal,WA,-31.98333333,115.75,white shark,3.0,Unknown,male,,1900-01-01 08:00:00,Carcharodon carcharias
2011,provoked,swimming,28.0,11,injured,QLD,-26.46666667,153.0833333,wobbegong,1.0,foot,male,10.0,1900-01-01 17:00:00,Orectolobidae
2011,unprovoked,boarding,2.0,12,injured,NSW,-28.7,153.6,white shark,3.375,"""torso, shoulder""",male,63.0,1900-01-01 06:00:00,Carcharodon carcharias
